PlayerID,Date,Position,Metric,Value,Time,Impact Load Total (L+R),Average Intensity (L and R)
12,2023-09-20,Guard,Jump Height (Imp-Mom) in Inches [in] ,15.0,Pre,65962.58,12.88
12,2023-09-26,Guard,Jump Height (Imp-Mom) in Inches [in] ,14.8,Pre,42460.06,9.97
12,2023-09-27,Guard,Jump Height (Imp-Mom) in Inches [in] ,14.8,Pre,64969.01,13.73
12,2023-10-03,Guard,Jump Height (Imp-Mom) in Inches [in] ,16.1,Pre,72397.1,12.13
12,2023-10-04,Guard,Jump Height (Imp-Mom) in Inches [in] ,14.2,Pre,52053.77,12.59
12,2023-10-10,Guard,Jump Height (Imp-Mom) in Inches [in] ,14.9,Pre,76335.44,10.91
12,2023-10-17,Guard,Jump Height (Imp-Mom) in Inches [in] ,14.4,Pre,82330.8,10.04
12,2023-10-18,Guard,Jump Height (Imp-Mom) in Inches [in] ,14.3,Pre,120182.24,14.29
12,2023-10-24,Guard,Jump Height (Imp-Mom) in Inches [in] ,14.9,Pre,93316.73,14.02
13,2023-09-19,Forward,Jump Height (Imp-Mom) in Inches [in] ,10.4,Pre,90116.81,11.79
13,2023-10-04,Forward,Jump Height (Imp-Mom) in Inches [in] ,20.4,Pre,42962.39,10.96
13,2023-10-10,Forward,Jump Height (Imp-Mom) in Inches [in] ,11.7,Pre,77502.36,10.41
13,2023-10-11,Forward,Jump Height (Imp-Mom) in Inches [in] ,9.5,Pre,64675.74,10.99
13,2023-10-17,Forward,Jump Height (Imp-Mom) in Inches [in] ,9.9,Pre,101206.69,10.84
13,2023-10-24,Forward,Jump Height (Imp-Mom) in Inches [in] ,10.4,Pre,87781.32,12.13
14,2023-09-19,Forward,Jump Height (Imp-Mom) in Inches [in] ,16.3,Pre,100571.84,13.13
14,2023-09-20,Forward,Jump Height (Imp-Mom) in Inches [in] ,16.4,Pre,123808.85,19.66
14,2023-09-26,Forward,Jump Height (Imp-Mom) in Inches [in] ,17.7,Pre,62430.89,11.08
14,2023-09-27,Forward,Jump Height (Imp-Mom) in Inches [in] ,15.6,Pre,47710.88,11.17
14,2023-10-03,Forward,Jump Height (Imp-Mom) in Inches [in] ,17.8,Pre,64007.05,10.69
14,2023-10-04,Forward,Jump Height (Imp-Mom) in Inches [in] ,13.1,Pre,37031.31,11.18
1,2023-09-19,Forward,RSI-modified (Imp-Mom) [m/s] ,0.49,Pre,112136.34,13.64
2,2023-09-19,Guard,RSI-modified (Imp-Mom) [m/s] ,0.62,Pre,46356.17,9.99
2,2023-09-26,Guard,RSI-modified (Imp-Mom) [m/s] ,0.55,Pre,31049.4,8.88
2,2023-09-27,Guard,RSI-modified (Imp-Mom) [m/s] ,0.55,Pre,54405.41,9.35
2,2023-10-03,Guard,RSI-modified (Imp-Mom) [m/s] ,0.56,Pre,73150.02,10.6
2,2023-10-04,Guard,RSI-modified (Imp-Mom) [m/s] ,0.62,Pre,45080.46,10.16
2,2023-10-10,Guard,RSI-modified (Imp-Mom) [m/s] ,0.62,Pre,67694.93,9.55
2,2023-10-11,Guard,RSI-modified (Imp-Mom) [m/s] ,0.57,Pre,60081.43,9.79
2,2023-10-17,Guard,RSI-modified (Imp-Mom) [m/s] ,0.6,Pre,50983.77,8.24
2,2023-10-24,Guard,RSI-modified (Imp-Mom) [m/s] ,0.64,Pre,38928.57,9.07
2,2023-10-25,Guard,RSI-modified (Imp-Mom) [m/s] ,0.56,Pre,74977.08,9.86
3,2023-09-19,Guard,RSI-modified (Imp-Mom) [m/s] ,0.6,Pre,87054.47,10.68
3,2023-09-20,Guard,RSI-modified (Imp-Mom) [m/s] ,0.56,Pre,107436.27,13.42
3,2023-10-03,Guard,RSI-modified (Imp-Mom) [m/s] ,0.54,Pre,73721.01,11.74
3,2023-10-04,Guard,RSI-modified (Imp-Mom) [m/s] ,0.58,Pre,27914.51,11.15
3,2023-10-11,Guard,RSI-modified (Imp-Mom) [m/s] ,0.62,Pre,85774.68,13.3
3,2023-10-24,Guard,RSI-modified (Imp-Mom) [m/s] ,0.62,Pre,76998.36,11.23
3,2023-10-25,Guard,RSI-modified (Imp-Mom) [m/s] ,0.63,Pre,107156.66,11.02
4,2023-09-19,Guard,RSI-modified (Imp-Mom) [m/s] ,0.71,Pre,93208.1,10.99
4,2023-09-20,Guard,RSI-modified (Imp-Mom) [m/s] ,0.71,Pre,85338.12,11.64
4,2023-09-26,Guard,RSI-modified (Imp-Mom) [m/s] ,0.55,Pre,54838.23,8.91
4,2023-09-27,Guard,RSI-modified (Imp-Mom) [m/s] ,0.58,Pre,78690.65,11.59
4,2023-10-03,Guard,RSI-modified (Imp-Mom) [m/s] ,0.65,Pre,71888.98,10.52
4,2023-10-04,Guard,RSI-modified (Imp-Mom) [m/s] ,0.7,Pre,38846.48,9.82
4,2023-10-10,Guard,RSI-modified (Imp-Mom) [m/s] ,0.72,Pre,79502.21,9.81
4,2023-10-11,Guard,RSI-modified (Imp-Mom) [m/s] ,0.69,Pre,68366.25,10.86
4,2023-10-17,Guard,RSI-modified (Imp-Mom) [m/s] ,0.66,Pre,101742.39,11.25
4,2023-10-24,Guard,RSI-modified (Imp-Mom) [m/s] ,0.68,Pre,68779.05,10.52
4,2023-10-25,Guard,RSI-modified (Imp-Mom) [m/s] ,0.71,Pre,70079.67,11.18
5,2023-09-19,Guard,RSI-modified (Imp-Mom) [m/s] ,0.52,Pre,86994.32,11.06
5,2023-09-20,Guard,RSI-modified (Imp-Mom) [m/s] ,0.5,Pre,91442.2,11.42
5,2023-09-26,Guard,RSI-modified (Imp-Mom) [m/s] ,0.54,Pre,76557.51,10.92
5,2023-09-27,Guard,RSI-modified (Imp-Mom) [m/s] ,0.5,Pre,50722.47,9.81
5,2023-10-04,Guard,RSI-modified (Imp-Mom) [m/s] ,0.51,Pre,30279.87,9.78
5,2023-10-10,Guard,RSI-modified (Imp-Mom) [m/s] ,0.44,Pre,92843.53,10.81
5,2023-10-24,Guard,RSI-modified (Imp-Mom) [m/s] ,0.52,Pre,88391.27,10.24
5,2023-10-25,Guard,RSI-modified (Imp-Mom) [m/s] ,0.52,Pre,99217.84,9.5
