Metric,Date,t-statistic,p-value (t-test),W-statistic,p-value (Wilcoxon),Effect Size (Cohen's d)
Force at Zero Velocity / BM [N/kg],2023-09-26,0.6220828343151281,0.5341103432430196,98902.0,0.5601139350964747,0.02527129558264246
Force at Zero Velocity / BM [N/kg],2023-09-27,-1.4458834978757868,0.14871193342556396,75529.0,7.786658623251282e-07,-0.052866298281362654
Force at Zero Velocity / BM [N/kg],2023-10-03,27.485958701357454,9.89549876580075e-139,288806.0,1.964666614946381e-116,0.5100010170347516
Force at Zero Velocity / BM [N/kg],2023-10-04,7.127185629248617,2.0452090314948827e-11,4264.0,8.546068697624837e-11,0.5362658929117288
Force at Zero Velocity / BM [N/kg],2023-10-10,1.3228459869420106,0.2431553795001228,5.0,0.3125,0.4399179891957047
Force at Zero Velocity / BM [N/kg],2023-10-11,-0.09829186295203661,0.9217334212387892,85150.0,0.23754800865782522,-0.002623579717320895
Force at Zero Velocity / BM [N/kg],2023-10-17,116.48123655757516,0.0,0.0,5.564380647094652e-191,1.1435845805735625
Force at Zero Velocity / BM [N/kg],2023-10-24,27.943937619576943,6.867510182166509e-119,15050.0,9.559426272026378e-103,0.8120676964341988
Force at Zero Velocity / BM [N/kg],2023-10-25,3.4011055072142216,0.0007443771180294336,22624.0,8.069510652470341e-09,0.10728005881726516
Force at Zero Velocity / BM [N/kg],2023-09-20,29.685047009698128,1.171512170096434e-123,13689.0,7.733167193334483e-85,0.716294797535682
Force at Zero Velocity / BM [N/kg],2023-10-18,11.597317749764615,1.0493273979164198e-27,40100.0,1.6630369735608978e-12,0.46153201668381305
Concentric Mean Force / BM [N/kg],2023-09-19,27.554427367575883,1.009958659926887e-136,219318.0,9.474792436154594e-84,0.38202940975277627
Concentric Mean Force / BM [N/kg],2023-09-26,2.1387641209999844,0.032835019156186994,98950.0,0.567105092842964,0.06837033764023095
Concentric Mean Force / BM [N/kg],2023-09-27,0.7147557073880391,0.4750273169301322,96512.0,0.7723694491266718,0.020633303736646492
Concentric Mean Force / BM [N/kg],2023-10-03,30.949470309083807,2.3105666492880854e-168,211484.0,1.1217354793694028e-155,0.49774128861472083
Concentric Mean Force / BM [N/kg],2023-10-04,7.152747407344754,1.7660434551262314e-11,4256.0,7.683892270916619e-11,0.597630438973393
Concentric Mean Force / BM [N/kg],2023-10-10,1.8411492357966457,0.124962779940961,3.0,0.15625,0.2790320425660628
Concentric Mean Force / BM [N/kg],2023-10-11,-15.562498120602067,4.1208405859256644e-46,30100.0,1.1271725361084022e-45,-0.3969424711404747
Concentric Mean Force / BM [N/kg],2023-10-17,55.52475511586576,0.0,1.0,8.502586068516352e-197,0.32191920013274344
Concentric Mean Force / BM [N/kg],2023-10-24,14.085217539297997,3.2166340089470346e-40,40100.0,1.1062893893632593e-24,0.2519308516677651
Concentric Mean Force / BM [N/kg],2023-10-25,-4.427403990066216,1.2570507199198665e-05,24302.0,6.204810661944513e-07,-0.0863816747916351
Concentric Mean Force / BM [N/kg],2023-09-20,20.14340404317673,1.0543157039702273e-70,31610.0,8.898517956431384e-57,0.4653915682619581
Concentric Mean Force / BM [N/kg],2023-10-18,-6.307873761625304,6.232192635866249e-10,45351.0,5.559762969533361e-08,-0.20945442463906055
Concentric RFD / BM [N/s/kg],2023-09-19,-34.04600559015307,7.590503666179023e-191,85789.0,8.563758927605141e-169,-0.5856343746080875
Concentric RFD / BM [N/s/kg],2023-09-26,8.3760499154038,3.4995207256756255e-16,50252.0,1.5084382707786197e-28,0.24408542943795505
Concentric RFD / BM [N/s/kg],2023-09-27,-1.6604310939630094,0.09733012946316522,77152.0,0.6635019533294991,-0.031107294071772623
Concentric RFD / BM [N/s/kg],2023-10-03,-10.769295458628728,3.082612292291976e-26,654248.0,5.032068492558726e-09,-0.14146892307069606
Concentric RFD / BM [N/s/kg],2023-10-04,-4.608922526878065,7.389691926040037e-06,5792.0,6.511534291478461e-06,-0.19735434454635872
Concentric RFD / BM [N/s/kg],2023-10-10,-0.4023762211434981,0.704032633857169,8.0,0.6875,-0.13400214854058196
Concentric RFD / BM [N/s/kg],2023-10-11,-14.807229777737856,1.684189934758931e-42,45050.0,1.6727719087300262e-26,-0.5133100306844937
Concentric RFD / BM [N/s/kg],2023-10-17,-44.20567617070546,3.852221781171247e-250,0.0,5.564380647094652e-191,-0.5953272743849565
Concentric RFD / BM [N/s/kg],2023-10-24,-23.288654917259734,4.811486401843492e-91,30100.0,6.419625483763563e-81,-0.7594993662240702
Concentric RFD / BM [N/s/kg],2023-10-25,-15.299339827923825,2.740257633409665e-41,8256.0,3.438521147217307e-37,-0.5410448639506563
Concentric RFD / BM [N/s/kg],2023-09-20,-14.855722297305903,2.8058503658704054e-43,52250.0,2.1900532720848816e-31,-0.5979126948628543
Concentric RFD / BM [N/s/kg],2023-10-18,-22.214014723609647,1.4386370883946855e-76,15150.0,1.5918722049907196e-49,-0.41474767845121224
Concentric Impulse (Abs) / BM [N s],2023-09-19,9.81432155746566,4.14669752011272e-22,451386.0,6.789816351658336e-21,0.15270997602958392
Concentric Impulse (Abs) / BM [N s],2023-09-26,-15.000471904367936,9.028748266385903e-44,50100.0,1.044977405888192e-28,-0.1721925537654816
Concentric Impulse (Abs) / BM [N s],2023-09-27,-1.872485384924482,0.06160690225309894,96512.0,0.7729058557980031,-0.028825567387322927
Concentric Impulse (Abs) / BM [N s],2023-10-03,-15.828852669184714,7.17417725847753e-53,443843.0,1.8694147442704668e-55,-0.09196298683211669
Concentric Impulse (Abs) / BM [N s],2023-10-04,6.677821879064884,2.5719810280527636e-10,6056.0,3.1216149306798506e-05,0.39751833305396755
Concentric Impulse (Abs) / BM [N s],2023-10-10,0.7629612028948798,0.4799149979029164,6.0,0.4375,0.14977394165595195
Concentric Impulse (Abs) / BM [N s],2023-10-11,-13.938039488684858,1.9022225916236117e-38,40100.0,2.9622292237340076e-32,-0.3868076308334189
Concentric Impulse (Abs) / BM [N s],2023-10-17,11.122240884772625,2.3032057549027564e-27,190765.0,9.089761625322313e-36,0.14195042746714873
Concentric Impulse (Abs) / BM [N s],2023-10-24,3.0497211912902706,0.002369765959125355,140200.0,0.33138792264539907,0.060603220160879843
Concentric Impulse (Abs) / BM [N s],2023-10-25,26.86853078337792,5.740751375417093e-89,677.0,1.3355000990812822e-60,0.3800786423213102
Concentric Impulse (Abs) / BM [N s],2023-09-20,12.67434755874169,4.195391864188891e-33,47451.0,1.3948680932330454e-36,0.3855314517309036
Concentric Impulse (Abs) / BM [N s],2023-10-18,-1.2943502828330486,0.19614192561056243,60300.0,0.4246511751326921,-0.04061901562726659
Concentric Mean Force [N],2023-09-19,30.664186700942988,2.703911349008913e-162,176275.0,6.539541546932119e-134,0.28518828472017277
Concentric Mean Force [N],2023-09-26,6.670835713695583,5.534068683099993e-11,85350.0,0.00045183330360438123,0.16392843488104125
Concentric Mean Force [N],2023-09-27,0.40315949079294894,0.686968995588012,93376.0,0.3252879786853313,0.007565302619955151
Concentric Mean Force [N],2023-10-03,46.93548475500174,9.5513809528e-313,19306.0,1.1145100510158782e-276,0.5468571189195922
Concentric Mean Force [N],2023-10-04,0.0,1.0,8104.0,0.1321099701337609,0.0
Concentric Mean Force [N],2023-10-10,1.9971065798709033,0.10231687352516337,3.0,0.15625,0.27814541715901736
Concentric Mean Force [N],2023-10-11,12.23018518568608,7.3335882293263e-31,50100.0,3.0526507267616836e-21,0.20939069293008436
Concentric Mean Force [N],2023-10-17,77.77241400117934,0.0,0.0,5.564380647094652e-191,0.2807650935276562
Concentric Mean Force [N],2023-10-24,19.307380367293142,6.171774509322474e-68,40050.0,2.171444909261205e-68,0.24783616716869672
Concentric Mean Force [N],2023-10-25,1.8357329623344278,0.06719950889646777,26720.0,0.00015778872470858922,0.02890100442607913
Concentric Mean Force [N],2023-09-20,24.155945833134368,7.427338922553784e-93,12633.0,8.558400551116606e-87,0.5001721278107668
Concentric Mean Force [N],2023-10-18,5.342496363860074,1.395026190635679e-07,45551.0,6.55498456870365e-08,0.10551964494173594
