ForceDecks Raw Data Export,2.0
Weight,61.51
Frequency,1000
Recording Date,2023-10-17T09:23:17
Recording Info,Jump;2.0.8587
Data Source,"ForceDecks;FDL2-220804-FW2R6-HW3R5,4251,FDL2-FW2R6-HW3R5,4248 (Post-analysis Trial 1)"
Analysis Date,2023-10-17T09:23:36
AthleteId,32d95336-22f1-46d5-8339-2bb0b8972d90

Time,Z Left,COPX Left,COPY Left,Z Right,COPX Right,COPY Right,,Fz1 Left,Fz2 Left,Fz3 Left,Fz4 Left,Fz1 Right,Fz2 Right,Fz3 Right,Fz4 Right,,Acceleration,Velocity,Height,Power,Impulse
14.714,259.269063,-0.312088,55.151142,340.607455,4.990824,45.637103,,66.340821,96.47001,32.8356,63.622632,111.237251,95.132224,82.081714,52.156265,,0,0,0,0,0
14.715,259.269063,0.162323,54.319959,341.107455,5.704689,45.570207,,65.840821,96.47001,33.3356,63.622632,110.737251,95.882224,82.581714,51.906265,,0,0,0,0,0
14.716,260.019063,0.043594,55.613653,341.107455,5.344099,45.254324,,66.090821,97.47001,32.5856,63.872632,110.737251,95.632224,82.331714,52.406265,,0,0,0,0,0
14.717,260.019063,0.516636,56.442438,341.357455,6.150919,45.063356,,66.340821,97.72001,32.8356,63.122632,110.487251,95.882224,83.331714,51.656265,,0,0,0,0,0
14.718,258.519063,0.043847,55.936339,340.357455,5.807606,46.145492,,65.840821,96.97001,32.3356,63.372632,110.487251,96.132224,82.081714,51.656265,,0,0,0,0,0
14.719,259.019063,0.043762,54.580384,341.607455,5.516308,44.872666,,65.840821,96.47001,33.0856,63.622632,110.487251,95.882224,82.581714,52.656265,,0,0,0,0,0
14.72,258.519063,-0.194047,54.685948,340.607455,5.893623,45.953449,,65.340821,96.72001,32.3356,64.122632,110.237251,96.382224,82.081714,51.906265,,0,0,0,0,0
14.721,260.019063,-0.665969,53.956082,342.357455,5.773679,44.931729,,65.840821,96.72001,32.5856,64.872632,110.987251,95.882224,83.331714,52.156265,,0,0,0,0,0
14.722,258.519063,-0.194047,54.685948,341.107455,5.524394,46.201973,,65.840821,96.22001,32.8356,63.622632,110.987251,96.132224,82.081714,51.906265,,0,0,0,0,0
14.723,259.019063,0.756065,55.412369,342.357455,5.594042,45.561188,,65.840821,96.97001,33.3356,62.872632,110.987251,96.382224,82.581714,52.406265,,0,0,0,0,0
14.724,257.769063,0.163267,55.890085,342.107455,5.688014,45.751962,,65.340821,96.97001,32.0856,63.372632,110.987251,96.382224,82.581714,52.156265,,0,0,0,0,0
14.725,259.019063,0.518631,54.996377,341.107455,5.524394,46.201973,,65.340821,97.22001,32.8356,63.622632,111.237251,95.882224,82.331714,51.656265,,0,0,0,0,0
14.726,259.269063,0.162323,55.566734,341.607455,6.236433,45.188087,,66.090821,96.97001,32.8356,63.372632,110.237251,96.382224,83.081714,51.906265,,0,0,0,0,0
14.727,259.019063,0.043762,55.412369,342.607455,5.500207,44.741692,,66.090821,96.72001,32.8356,63.372632,110.987251,95.882224,83.081714,52.656265,,0,0,0,0,0
14.728,259.519063,0.280655,54.890418,342.107455,5.688014,45.751962,,65.840821,96.97001,33.0856,63.622632,110.737251,96.632224,82.331714,52.406265,,0,0,0,0,0
14.729,259.269063,0.162323,55.151142,340.357455,6.168991,45.512335,,65.840821,96.97001,32.8356,63.622632,110.237251,95.882224,82.831714,51.406265,,0,0,0,0,0
14.73,259.019063,0.756065,54.996377,341.107455,5.704689,45.570207,,65.590821,96.97001,33.3356,63.122632,110.487251,96.132224,82.331714,52.156265,,0,0,0,0,0
14.731,259.269063,-0.312088,54.735551,341.607455,5.876371,45.188087,,66.090821,96.47001,32.8356,63.872632,110.237251,96.382224,82.581714,52.406265,,0,0,0,0,0
14.732,260.019063,-0.192927,53.956082,340.607455,5.893623,45.953449,,65.840821,96.72001,33.0856,64.372632,110.987251,95.632224,82.831714,51.156265,,0,0,0,0,0
14.733,258.769063,-1.025682,55.257707,340.357455,5.626914,46.145492,,66.340821,96.22001,32.0856,64.122632,110.487251,96.132224,81.831714,51.906265,,0,0,0,0,0
14.734,258.769063,0.4003,55.674101,340.107455,5.721462,46.971441,,65.840821,96.97001,32.8356,63.122632,110.987251,96.132224,81.831714,51.156265,,0,0,0,0,0
14.735,259.269063,0.399528,55.151142,340.857455,5.799087,46.077802,,65.590821,97.22001,32.8356,63.622632,110.737251,96.132224,82.331714,51.656265,,0,0,0,0,0
14.736,258.769063,0.4003,56.090495,341.857455,5.962023,45.943016,,65.840821,97.22001,32.5856,63.122632,110.987251,96.382224,82.831714,51.656265,,0,0,0,0,0
14.737,258.519063,0.519634,54.685948,340.107455,5.540637,46.021006,,65.340821,96.72001,33.0856,63.372632,110.237251,96.132224,81.581714,52.156265,,0,0,0,0,0
14.738,258.519063,0.28174,55.936339,342.607455,5.859219,46.314192,,65.840821,96.97001,32.5856,63.122632,111.237251,96.882224,82.581714,51.906265,,0,0,0,0,0
14.739,258.769063,0.162636,54.008523,342.107455,5.508246,45.437003,,65.590821,96.22001,33.3356,63.622632,110.987251,96.132224,82.581714,52.406265,,0,0,0,0,0
14.74,259.269063,0.636733,54.319959,341.607455,6.056402,45.503507,,65.340821,96.97001,33.3356,63.622632,110.487251,96.382224,82.831714,51.906265,,0,0,0,0,0
14.741,258.019063,0.282286,55.62713,340.607455,5.532504,45.953449,,65.590821,96.72001,32.5856,63.122632,110.737251,95.882224,82.081714,51.906265,,0,0,0,0,0
14.742,259.769063,0.16201,54.630197,341.607455,5.696339,45.818928,,65.840821,96.97001,33.0856,63.872632,110.737251,96.382224,82.331714,52.156265,,0,0,0,0,0
14.743,259.019063,0.281196,55.828362,341.357455,5.61043,46.641613,,66.090821,96.97001,32.8356,63.122632,111.487251,96.132224,82.331714,51.406265,,0,0,0,0,0
14.744,258.019063,0.282286,55.209525,342.107455,5.508246,45.751962,,65.590821,96.47001,32.8356,63.122632,110.987251,96.382224,82.331714,52.406265,,0,0,0,0,0
14.745,260.019063,0.280115,54.784868,341.857455,5.422324,45.943016,,66.090821,96.97001,33.3356,63.622632,110.737251,96.632224,81.831714,52.656265,,0,0,0,0,0
14.746,259.269063,0.162323,55.151142,340.857455,6.159941,45.761688,,65.840821,96.97001,32.8356,63.622632,110.237251,96.382224,82.581714,51.656265,,0,0,0,0,0
14.747,257.519063,0.282834,54.898305,341.607455,6.056402,45.818928,,65.340821,96.22001,32.8356,63.122632,110.487251,96.632224,82.581714,51.906265,,0,0,0,0,0
14.748,258.769063,-0.075027,55.257707,342.107455,6.04755,46.381881,,65.840821,96.72001,32.5856,63.622632,111.237251,96.632224,82.831714,51.406265,,0,0,0,0,0
14.749,260.019063,0.280115,55.19926,340.357455,5.807606,45.828913,,66.340821,96.97001,33.3356,63.372632,110.237251,96.132224,82.081714,51.906265,,0,0,0,0,0
14.75,259.019063,0.043762,54.996377,342.107455,5.688014,46.066922,,65.840821,96.72001,32.8356,63.622632,110.987251,96.632224,82.331714,52.156265,,0,0,0,0,0
14.751,260.269063,0.397993,55.353236,342.107455,5.867782,46.066922,,66.340821,97.22001,33.3356,63.372632,110.737251,96.882224,82.331714,52.156265,,0,0,0,0,0
14.752,258.769063,0.4003,56.090495,341.357455,5.970756,46.01031,,65.840821,97.22001,32.5856,63.122632,110.737251,96.382224,82.581714,51.656265,,0,0,0,0,0
14.753,260.269063,0.634287,55.353236,340.357455,5.626914,46.145492,,66.090821,97.47001,33.3356,63.372632,110.737251,95.882224,82.081714,51.656265,,0,0,0,0,0
14.754,259.769063,-0.548236,55.044988,341.857455,5.782123,45.943016,,66.590821,96.47001,32.8356,63.872632,110.987251,96.382224,82.581714,51.906265,,0,0,0,0,0
14.755,260.519063,-0.192557,55.093319,342.357455,5.773679,45.246458,,66.090821,97.47001,32.5856,64.372632,110.737251,96.382224,82.831714,52.406265,,0,0,0,0,0
14.756,258.519063,-0.43194,55.936339,341.107455,5.344099,46.201973,,66.090821,96.72001,32.0856,63.622632,110.987251,96.132224,81.831714,52.156265,,0,0,0,0,0
14.757,259.519063,0.043678,55.30561,340.607455,5.532504,46.902489,,66.090821,96.97001,32.8356,63.622632,110.987251,96.382224,81.581714,51.656265,,0,0,0,0,0
14.758,260.019063,0.280115,55.19926,341.107455,5.704689,45.88609,,66.340821,96.97001,33.3356,63.372632,110.987251,95.882224,82.581714,51.656265,,0,0,0,0,0
