Metric,Date,Position,t-statistic,p-value (t-test),W-statistic,p-value (Wilcoxon),Effect Size (Cohen's d)
RSI-modified (Imp-Mom) [m/s],2023-10-24,Guard,21.025672747772617,7.122578625643471e-73,5050.0,2.3532980674677925e-83,0.7683338269833806
RSI-modified (Imp-Mom) [m/s],2023-10-24,,,,,,
RSI-modified (Imp-Mom) [m/s],2023-10-25,Forward,4.334395257532552,2.9453032798763865e-05,2080.0,4.951217422443999e-07,0.7151481354727162
RSI-modified (Imp-Mom) [m/s],2023-10-25,Guard,3.720746992265025,0.0002469991424400325,12352.0,0.023171011660437623,0.1630648316334054
RSI-modified (Imp-Mom) [m/s],2023-10-25,,,,,,
RSI-modified (Imp-Mom) [m/s],2023-09-20,Forward,10.479166666666668,1.8933304674260565e-19,2080.0,5.550980911375265e-11,1.3923958788810427
RSI-modified (Imp-Mom) [m/s],2023-09-20,Guard,27.6129429155438,1.1533816763720304e-103,0.0,3.480814941916192e-63,0.4783749360303201
RSI-modified (Imp-Mom) [m/s],2023-09-20,,,,,,
RSI-modified (Imp-Mom) [m/s],2023-10-18,Forward,-14.106735979665887,8.8687748418355e-32,0.0,1.523970604832094e-23,-1.4106735979665848
RSI-modified (Imp-Mom) [m/s],2023-10-18,Guard,0.3328406008639209,0.7394870804417177,10050.0,0.8886378608950078,0.0022238824989439174
RSI-modified (Imp-Mom) [m/s],2023-10-18,,,,,,
Eccentric Mean Braking Force [N],2023-09-19,Forward,15.558842811253905,6.570097433942758e-46,48763.0,1.7252080380364146e-19,0.29603682052309205
Eccentric Mean Braking Force [N],2023-09-19,Guard,27.50708325737966,3.6577503777734117e-124,29403.0,1.4104982151295552e-127,0.3953551622456363
Eccentric Mean Braking Force [N],2023-09-19,,,,,,
Eccentric Mean Braking Force [N],2023-09-26,Forward,inf,0.0,0.0,1.523970604832094e-23,inf
Eccentric Mean Braking Force [N],2023-09-26,Guard,24.62114222386477,4.122944198257884e-90,5151.0,3.260116697715224e-78,0.24663805811403347
Eccentric Mean Braking Force [N],2023-09-26,,,,,,
Eccentric Mean Braking Force [N],2023-09-27,Forward,9.107931905350044,1.1366977052982225e-16,6176.0,4.8749872440673664e-05,0.8611135161696519
Eccentric Mean Braking Force [N],2023-09-27,Guard,0.3136247399720278,0.7539574430719687,31872.0,6.108160556509852e-09,0.008580766052895858
Eccentric Mean Braking Force [N],2023-09-27,,,,,,
Eccentric Mean Braking Force [N],2023-10-03,Forward,29.02982371234431,1.4450148218114489e-115,19306.0,1.4643131567096323e-61,2.160534973712912
Eccentric Mean Braking Force [N],2023-10-03,Guard,50.48547436294836,1.0989573776172429e-296,0.0,2.1036093235110696e-195,0.635951119392776
Eccentric Mean Braking Force [N],2023-10-03,,,,,,
Eccentric Mean Braking Force [N],2023-10-04,Forward,-7.071529746722207,1.4996665516713645e-09,528.0,0.000559890647739198,-0.8510732547280282
Eccentric Mean Braking Force [N],2023-10-04,Guard,7.646370151993665,4.4610435581615526e-12,1928.0,1.5882874689314638e-07,0.32844960495410286
Eccentric Mean Braking Force [N],2023-10-04,,,,,,
Eccentric Mean Braking Force [N],2023-10-10,Forward,,,0.0,1.0,
Eccentric Mean Braking Force [N],2023-10-10,Guard,-0.16111976827771535,0.8798092826065406,6.0,0.8125,-0.04298554179868133
Eccentric Mean Braking Force [N],2023-10-10,,,,,,
Eccentric Mean Braking Force [N],2023-10-11,Forward,inf,0.0,0.0,1.523970604832094e-23,inf
Eccentric Mean Braking Force [N],2023-10-11,Guard,18.19242974079228,4.1855319152856325e-57,25050.0,1.5545775169167199e-31,0.7150385414734539
Eccentric Mean Braking Force [N],2023-10-11,,,,,,
Eccentric Mean Braking Force [N],2023-10-17,Forward,83.28930517353459,6.054266161923236e-251,0.0,3.05837865032028e-70,0.40134458315977484
Eccentric Mean Braking Force [N],2023-10-17,Guard,36.8000264438734,9.088777453063946e-171,14365.0,7.61881335359938e-104,0.6430318878525723
Eccentric Mean Braking Force [N],2023-10-17,,,,,,
Eccentric Mean Braking Force [N],2023-10-24,Forward,7.243999557125725,9.352989911550494e-12,5050.0,2.9890527816858347e-10,0.05674167208848909
Eccentric Mean Braking Force [N],2023-10-24,Guard,24.914142815730486,6.53230780711471e-93,0.0,9.421240949970208e-95,0.8936766773313148
Eccentric Mean Braking Force [N],2023-10-24,,,,,,
Eccentric Mean Braking Force [N],2023-10-25,Forward,10.311143003803636,1.7480087979819105e-18,2080.0,4.951217422443999e-07,1.245821236780095
Eccentric Mean Braking Force [N],2023-10-25,Guard,7.492014455666461,1.268664735148729e-12,10336.0,3.737966047986732e-05,0.1882900993591581
Eccentric Mean Braking Force [N],2023-10-25,,,,,,
Eccentric Mean Braking Force [N],2023-09-20,Forward,27.442307692307693,4.546518850734611e-59,0.0,3.451216741169581e-27,4.557919221203362
Eccentric Mean Braking Force [N],2023-09-20,Guard,21.309189024469887,1.0281832372279231e-72,9882.0,2.061352706759821e-63,0.5971808397458644
Eccentric Mean Braking Force [N],2023-09-20,,,,,,
Eccentric Mean Braking Force [N],2023-10-18,Forward,26.00398319143229,6.356252500615976e-66,0.0,9.640853349783355e-37,2.6003983191432285
Eccentric Mean Braking Force [N],2023-10-18,Guard,4.408174585660736,1.453654985496102e-05,20301.0,0.10380124205124477,0.177904028789142
Eccentric Mean Braking Force [N],2023-10-18,,,,,,
Eccentric Duration [ms],2023-09-19,Forward,-4.605472174046295,5.056290154939572e-06,70785.0,0.00031401384882555545,-0.1759668191639303
Eccentric Duration [ms],2023-09-19,Guard,-31.582560632176836,5.993570349246525e-152,29403.0,3.2596207291134512e-108,-0.5690799350637499
Eccentric Duration [ms],2023-09-19,,,,,,
Eccentric Duration [ms],2023-09-26,Forward,-inf,0.0,0.0,1.523970604832094e-23,-inf
Eccentric Duration [ms],2023-09-26,Guard,-7.334238888416025,8.288889960189215e-13,56287.0,8.624355650724854e-06,-0.3725304337096023
Eccentric Duration [ms],2023-09-26,,,,,,
Eccentric Duration [ms],2023-09-27,Forward,8.530874210036723,4.420854030805827e-15,6176.0,4.8749872440673664e-05,0.4673626987301311
Eccentric Duration [ms],2023-09-27,Guard,-11.185305018025758,1.1115965527748306e-25,26121.0,1.0007974682042156e-15,-0.3981016542276112
Eccentric Duration [ms],2023-09-27,,,,,,
Eccentric Duration [ms],2023-10-03,Forward,2.921131680837039,0.0036216868954073163,77028.0,0.018709305369958747,0.047648745267944936
Eccentric Duration [ms],2023-10-03,Guard,-18.813159360415938,3.1268073805646905e-69,173167.0,1.066404964520286e-50,-0.28691123406943475
Eccentric Duration [ms],2023-10-03,,,,,,
Eccentric Duration [ms],2023-10-04,Forward,7.230499484375429,7.915874643751709e-10,136.0,1.1150987203452994e-09,0.5699862386502307
Eccentric Duration [ms],2023-10-04,Guard,-4.2713402766025235,3.775520246114475e-05,2712.0,0.0007409668288925197,-0.24224812534102902
Eccentric Duration [ms],2023-10-04,,,,,,
Eccentric Duration [ms],2023-10-10,Forward,,,0.0,1.0,
Eccentric Duration [ms],2023-10-10,Guard,-0.3719554513316322,0.7287925133455153,7.0,1.0,-0.16011173293094202
Eccentric Duration [ms],2023-10-10,,,,,,
Eccentric Duration [ms],2023-10-11,Forward,-inf,0.0,0.0,1.523970604832094e-23,-inf
Eccentric Duration [ms],2023-10-11,Guard,-6.912735887018414,1.4587168501297493e-11,40100.0,2.4935850364438685e-12,-0.26090654468666225
Eccentric Duration [ms],2023-10-11,,,,,,
Eccentric Duration [ms],2023-10-17,Forward,-170.05399142625262,0.0,0.0,3.05837865032028e-70,-3.9787883540376714
Eccentric Duration [ms],2023-10-17,Guard,-15.642294724202683,5.3480588056239234e-48,57919.0,9.259269513499745e-47,-0.40957001331816534
Eccentric Duration [ms],2023-10-17,,,,,,
Eccentric Duration [ms],2023-10-24,Forward,21.49597863568135,8.904450246029363e-54,0.0,9.640853349783355e-37,0.6981302119751863
Eccentric Duration [ms],2023-10-24,Guard,-14.089876133572773,7.768869961752535e-39,40100.0,1.1062893893632593e-24,-0.6565457449684248
Eccentric Duration [ms],2023-10-24,,,,,,
Eccentric Duration [ms],2023-10-25,Forward,2.331605724741651,0.021296010920085724,2080.0,4.951217422443999e-07,0.13595286832652548
Eccentric Duration [ms],2023-10-25,Guard,-0.007218512906761744,0.9942464570216727,13408.0,0.1935172775361016,-0.000192529665479188
Eccentric Duration [ms],2023-10-25,,,,,,
Eccentric Duration [ms],2023-09-20,Forward,4.149812734082397,5.6671827225496084e-05,3321.0,5.746194392696825e-05,0.4659777916637605
Eccentric Duration [ms],2023-09-20,Guard,-3.2990499157688786,0.0010372373497591978,64597.0,0.5351307616712719,-0.07850184097123905
Eccentric Duration [ms],2023-09-20,,,,,,
Eccentric Duration [ms],2023-10-18,Forward,-102.50894811890544,3.4641348268602798e-174,0.0,9.640853349783355e-37,-10.250894811890543
Eccentric Duration [ms],2023-10-18,Guard,26.551857726461726,9.607282420955744e-81,301.0,3.693565034732222e-51,0.3385694185290639
