PlayerID,Date,Position,Metric,Value,Time
3,2023-10-25,Guard,Jump Height (Imp-Mom) in Inches [in] ,16.0,Pre
4,2023-09-19,Guard,Jump Height (Imp-Mom) in Inches [in] ,17.7,Pre
4,2023-09-20,Guard,Jump Height (Imp-Mom) in Inches [in] ,17.8,Pre
4,2023-09-26,Guard,Jump Height (Imp-Mom) in Inches [in] ,15.6,Pre
4,2023-09-27,Guard,Jump Height (Imp-Mom) in Inches [in] ,15.6,Pre
4,2023-10-03,Guard,Jump Height (Imp-Mom) in Inches [in] ,17.6,Pre
4,2023-10-04,Guard,Jump Height (Imp-Mom) in Inches [in] ,18.1,Pre
4,2023-10-10,Guard,Jump Height (Imp-Mom) in Inches [in] ,17.7,Pre
4,2023-10-11,Guard,Jump Height (Imp-Mom) in Inches [in] ,17.7,Pre
4,2023-10-17,Guard,Jump Height (Imp-Mom) in Inches [in] ,17.3,Pre
4,2023-10-24,Guard,Jump Height (Imp-Mom) in Inches [in] ,17.8,Pre
4,2023-10-25,Guard,Jump Height (Imp-Mom) in Inches [in] ,18.4,Pre
5,2023-09-19,Guard,Jump Height (Imp-Mom) in Inches [in] ,15.0,Pre
5,2023-09-20,Guard,Jump Height (Imp-Mom) in Inches [in] ,15.6,Pre
5,2023-09-26,Guard,Jump Height (Imp-Mom) in Inches [in] ,16.3,Pre
5,2023-09-27,Guard,Jump Height (Imp-Mom) in Inches [in] ,15.4,Pre
5,2023-10-04,Guard,Jump Height (Imp-Mom) in Inches [in] ,15.2,Pre
5,2023-10-10,Guard,Jump Height (Imp-Mom) in Inches [in] ,15.1,Pre
5,2023-10-24,Guard,Jump Height (Imp-Mom) in Inches [in] ,16.1,Pre
5,2023-10-25,Guard,Jump Height (Imp-Mom) in Inches [in] ,16.4,Pre
6,2023-09-19,Guard,Jump Height (Imp-Mom) in Inches [in] ,16.3,Pre
6,2023-09-20,Guard,Jump Height (Imp-Mom) in Inches [in] ,17.3,Pre
6,2023-09-26,Guard,Jump Height (Imp-Mom) in Inches [in] ,16.3,Pre
6,2023-09-27,Guard,Jump Height (Imp-Mom) in Inches [in] ,16.0,Pre
6,2023-10-03,Guard,Jump Height (Imp-Mom) in Inches [in] ,16.3,Pre
6,2023-10-04,Guard,Jump Height (Imp-Mom) in Inches [in] ,17.2,Pre
